
taxa	total	dpt.me	dpt.sd	d>5.tot	d>5.me	d>5.sd	badpairs
   :	0------------50-------------100%
0 	***********************             26571
5 	******                              6097
10 	***                                 2251
15 	**                                  1007
20 	*                                   426
25 	*                                   231
30 	*                                   126
35 	*                                   76
40 	*                                   45
50 	*                                   43
100 	*                                   9
250 	                                    0
500 	                                    0

sample: CDS_4658_Cyrtodactylus_annulatus_Bohol.trimmed
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	****************************        18739
5 	***                                 1716
10 	*                                   277
15 	*                                   48
20 	*                                   9
25 	*                                   4
30 	*                                   3
35 	*                                   2
40 	*                                   4
50 	*                                   6
100 	*                                   1
250 	                                    0
500 	                                    0

sample: CDS_4659_Cyrtodactylus_annulatus_Bohol.trimmed
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	**********************              24096
5 	******                              5721
10 	***                                 2155
15 	**                                  926
20 	*                                   417
25 	*                                   264
30 	*                                   138
35 	*                                   101
40 	*                                   72
50 	*                                   64
100 	*                                   10
250 	*                                   1
500 	                                    0

sample: CDS_4660_Cyrtodactylus_annulatus_Bohol.trimmed
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	************************            23728
5 	******                              5038
10 	**                                  1399
15 	*                                   482
20 	*                                   164
25 	*                                   69
30 	*                                   26
35 	*                                   16
40 	*                                   5
50 	*                                   16
100 	*                                   4
250 	                                    0
500 	                                    0

sample: CDS_46_Gekko_gigante_SouthGigante.trimmed
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	********************                46020
5 	****                                6594
10 	**                                  2814
15 	**                                  2258
20 	**                                  2037
25 	**                                  1746
30 	**                                  1669
35 	**                                  1468
40 	**                                  2265
50 	***                                 3597
100 	*                                   292
250 	*                                   45
500 	*                                   15

sample: CDS_49_Gekko_gigante_NorthGigante.trimmed
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	********************                38765
5 	****                                5985
10 	**                                  2806
15 	**                                  2238
20 	**                                  2177
25 	**                                  1932
30 	**                                  1839
35 	**                                  1464
40 	**                                  2211
50 	**                                  2410
100 	*                                   124
250 	*                                   31
500 	*                                   10

sample: CDS_50_Gekko_gigante_NorthGigante.trimmed
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	***************************         12340
5 	*****                               1894
10 	*                                   189
15 	*                                   34
20 	*                                   18
25 	*                                   8
30 	*                                   6
35 	*                                   3
40 	*                                   3
50 	*                                   6
100 	*                                   6
250 	*                                   4
500 	                                    0

sample: CDS_51_Gekko_gigante_NorthGigante.trimmed
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	***********************             82850
5 	****                                10244
10 	**                                  2791
15 	*                                   1777
20 	*                                   1366
25 	*                                   1213
30 	*                                   1228
35 	*                                   1109
40 	**                                  2111
50 	***                                 7337
100 	**                                  2964
250 	*                                   85
500 	*                                   46

sample: CDS_53_Gekko_gigante_NorthGigante.trimmed
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	**********************              59839
5 	****                                7441
10 	**                                  2967
15 	**                                  2238
20 	**                                  2030
25 	**                                  1807
30 	**                                  1694
35 	**                                  1465
40 	**                                  2475
50 	**                                  4221
100 	*                                   301
250 	*                                   37
500 	*                                   23

sample: CDS_55_Gekko_gigante_SouthGigante.trimmed
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	********************                40308
5 	****                                6341
10 	***                                 3332
15 	**                                  2777
20 	**                                  2252
25 	**                                  1905
30 	**                                  1567
35 	**                                  1217
40 	**                                  1476
50 	**                                  1205
100 	*                                   93
250 	*                                   18
500 	*                                   14

sample: CDS_5627_Cyrtodactylus_philippinicus_Luzon.trimmed
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	***************************         21707
5 	****                                2842
10 	**                                  541
15 	*                                   133
20 	*                                   39
25 	*                                   18
30 	*                                   13
35 	*                                   3
40 	*                                   3
50 	*                                   10
100 	*                                   4
250 	                                    0
500 	                                    0

sample: CDS_5724_Cyrtodactylus_philippinicus_Luzon.trimmed
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*********************               31023
5 	******                              7266
10 	***                                 3605
15 	**                                  2031
20 	**                                  1174
25 	*                                   732
30 	*                                   494
35 	*                                   282
40 	*                                   324
50 	*                                   327
100 	*                                   31
250 	*                                   11
500 	*                                   1

sample: CDS_5727_Cyrtodactylus_philippinicus_Luzon.trimmed
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	******************************      9187
5 	**                                  216
10 	*                                   41
15 	*                                   20
20 	*                                   18
25 	*                                   6
30 	*                                   4
35 	*                                   6
40 	*                                   2
50 	*                                   10
100 	*                                   5
250 	                                    0
500 	                                    0

sample: CDS_5822_Cyrtodactylus_philippinicus_Luzon.trimmed
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	**********************              25968
5 	******                              6468
10 	***                                 2589
15 	**                                  1213
20 	**                                  663
25 	*                                   302
30 	*                                   170
35 	*                                   86
40 	*                                   81
50 	*                                   64
100 	*                                   12
250 	*                                   3
500 	                                    0

sample: CDS_5823_Cyrtodactylus_philippinicus_Luzon.trimmed
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	********************                34183
5 	*****                               7090
10 	***                                 4094
15 	**                                  2519
20 	**                                  1560
25 	**                                  943
30 	*                                   679
35 	*                                   458
40 	*                                   548
50 	*                                   572
100 	*                                   54
250 	*                                   6
500 	*                                   5

sample: CDS_590_Gekko_mindorensis_Caluya.trimmed
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*********************               48111
5 	****                                6420
10 	**                                  3062
15 	**                                  2472
20 	**                                  2084
25 	**                                  1931
30 	**                                  1632
35 	**                                  1336
40 	**                                  1960
50 	**                                  2260
100 	*                                   170
250 	*                                   30
500 	*                                   22

sample: CDS_591_Gekko_mindorensis_Caluya.trimmed
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	**********************              59045
5 	****                                7639
10 	**                                  3103
15 	**                                  2286
20 	**                                  1814
25 	**                                  1590
30 	*                                   1418
35 	*                                   1208
40 	**                                  2012
50 	***                                 4484
100 	*                                   1311
250 	*                                   74
500 	*                                   36

sample: CDS_6047_Gekko_mindorensis_Luzon.trimmed
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	**********************              75304
5 	****                                8997
10 	**                                  2707
15 	**                                  1836
20 	*                                   1549
25 	*                                   1379
30 	*                                   1289
35 	*                                   1266
40 	**                                  2277
50 	***                                 7272
100 	**                                  1790
250 	*                                   66
500 	*                                   51

sample: CDS_6051_Gekko_mindorensis_Luzon.trimmed
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*******************                 27683
5 	*****                               6314
10 	****                                3921
15 	***                                 2833
20 	**                                  2134
25 	**                                  1343
30 	**                                  802
35 	*                                   458
40 	*                                   417
50 	*                                   252
100 	*                                   53
250 	*                                   10
500 	*                                   10

sample: CDS_6052_Gekko_mindorensis_Luzon.trimmed
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	**********************              62546
5 	****                                7626
10 	**                                  2469
15 	**                                  1598
20 	*                                   1378
25 	*                                   1196
30 	*                                   1075
35 	*                                   1084
40 	**                                  1971
50 	***                                 6806
100 	**                                  2701
250 	*                                   88
500 	*                                   54

sample: CDS_6054_Gekko_mindorensis_Luzon.trimmed
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	********************                39344
5 	****                                6358
10 	***                                 3125
15 	**                                  2554
20 	**                                  2197
25 	**                                  1990
30 	**                                  1480
35 	**                                  1293
40 	**                                  1766
50 	**                                  1681
100 	*                                   119
250 	*                                   39
500 	*                                   15

sample: CDS_607_Gekko_mindorensis_Caluya.trimmed
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	********************                19025
5 	********                            6814
10 	****                                2523
15 	**                                  809
20 	*                                   259
25 	*                                   94
30 	*                                   45
35 	*                                   17
40 	*                                   35
50 	*                                   48
100 	*                                   18
250 	*                                   4
500 	*                                   9

sample: CDS_609_Gekko_mindorensis_Caluya.trimmed
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	***********************             119514
5 	****                                16444
10 	**                                  4528
15 	*                                   2043
20 	*                                   1295
25 	*                                   984
30 	*                                   797
35 	*                                   728
40 	*                                   1247
50 	**                                  5353
100 	***                                 9812
250 	*                                   1032
500 	*                                   150

sample: CDS_610_Gekko_mindorensis_Caluya.trimmed
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	**********************              67455
5 	****                                8761
10 	**                                  2904
15 	**                                  1889
20 	*                                   1486
25 	*                                   1329
30 	*                                   1244
35 	*                                   1092
40 	**                                  2035
50 	***                                 6405
100 	**                                  2350
250 	*                                   88
500 	*                                   63

sample: CDS_63_Gekko_mindorensis_Panay.trimmed
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	**************                      18793
5 	***                                 3263
10 	**                                  1949
15 	**                                  1622
20 	**                                  1497
25 	**                                  1346
30 	**                                  1267
35 	**                                  1179
40 	***                                 2180
50 	******                              7024
100 	***                                 2865
250 	*                                   84
500 	*                                   55

sample: CDS_64_Gekko_mindorensis_Panay.trimmed
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	****************                    23590
5 	***                                 3206
10 	**                                  2001
15 	**                                  1598
20 	**                                  1307
25 	**                                  1204
30 	**                                  1093
35 	**                                  951
40 	**                                  1814
50 	*****                               6112
100 	****                                4528
250 	*                                   304
500 	*                                   79

sample: CDS_65_Gekko_mindorensis_Panay.trimmed
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	******************                  33832
5 	***                                 3413
10 	**                                  1885
15 	**                                  1208
20 	*                                   905
25 	*                                   860
30 	*                                   762
35 	*                                   663
40 	**                                  1320
50 	****                                5305
100 	*****                               9061
250 	**                                  1629
500 	*                                   144

sample: CDS_66_Gekko_mindorensis_Panay.trimmed
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*************                       12660
5 	*****                               4676
10 	****                                3641
15 	****                                2918
20 	***                                 2208
25 	***                                 1725
30 	**                                  1244
35 	**                                  856
40 	**                                  923
50 	**                                  633
100 	*                                   73
250 	*                                   15
500 	*                                   14

sample: CDS_754_Gekko_mindorensis_Masbate.trimmed
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	***************************         11346
5 	****                                1337
10 	*                                   120
15 	*                                   28
20 	*                                   21
25 	*                                   5
30 	*                                   7
35 	*                                   2
40 	*                                   3
50 	*                                   5
100 	                                    0
250 	                                    0
500 	                                    0

sample: CDS_755_Gekko_mindorensis_Masbate.trimmed
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	***************                     22791
5 	***                                 3296
10 	**                                  1848
15 	**                                  1404
20 	**                                  1238
25 	**                                  1115
30 	**                                  1021
35 	**                                  998
40 	**                                  1862
50 	*****                               6708
100 	****                                5274
250 	*                                   159
500 	*                                   78

sample: CDS_757_Gekko_mindorensis_Masbate.trimmed
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	****************                    13441
5 	********                            6526
10 	*****                               3616
15 	***                                 1705
20 	**                                  789
25 	*                                   350
30 	*                                   150
35 	*                                   76
40 	*                                   56
50 	*                                   54
100 	*                                   22
250 	*                                   9
500 	*                                   7

sample: CDS_758_Gekko_mindorensis_Masbate.trimmed
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*****************                   30861
5 	***                                 3257
10 	**                                  1725
15 	**                                  1157
20 	**                                  1049
25 	*                                   844
30 	*                                   796
35 	*                                   701
40 	**                                  1382
50 	****                                5392
100 	******                              8597
250 	**                                  1320
500 	*                                   113

sample: CDS_788_Gekko_romblon_Romblon.trimmed
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*************                       11036
5 	*******                             5244
10 	*****                               3676
15 	****                                2652
20 	***                                 1921
25 	**                                  1227
30 	**                                  904
35 	**                                  548
40 	**                                  598
50 	*                                   387
100 	*                                   50
250 	*                                   11
500 	*                                   6

sample: CDS_789_Gekko_romblon_Romblon.trimmed
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	***************                     12088
5 	********                            5835
10 	*****                               3619
15 	***                                 2089
20 	**                                  1004
25 	**                                  472
30 	*                                   220
35 	*                                   101
40 	*                                   62
50 	*                                   63
100 	*                                   20
250 	*                                   4
500 	*                                   6

sample: CDS_790_Gekko_romblon_Romblon.trimmed
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	**************                      11764
5 	*******                             5560
10 	*****                               3453
15 	***                                 2228
20 	***                                 1391
25 	**                                  913
30 	**                                  541
35 	*                                   381
40 	*                                   430
50 	*                                   302
100 	*                                   45
250 	*                                   4
500 	*                                   5

sample: CDS_791_Gekko_romblon_Romblon.trimmed
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	****************                    13109
5 	********                            6285
10 	*****                               3751
15 	***                                 1991
20 	**                                  974
25 	*                                   433
30 	*                                   198
35 	*                                   83
40 	*                                   51
50 	*                                   57
100 	*                                   31
250 	*                                   3
500 	*                                   3

sample: CDS_792_Gekko_romblon_Romblon.trimmed
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	******************                  11845
5 	*********                           5652
10 	****                                2335
15 	**                                  892
20 	*                                   333
25 	*                                   126
30 	*                                   41
35 	*                                   18
40 	*                                   12
50 	*                                   30
100 	*                                   8
250 	*                                   3
500 	                                    0

sample: CDS_99_Gekko_mindorensis_CamiguinSur.trimmed
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	***********************             165940
5 	****                                25360
10 	**                                  6327
15 	*                                   2558
20 	*                                   1382
25 	*                                   978
30 	*                                   786
35 	*                                   678
40 	*                                   1241
50 	**                                  4768
100 	**                                  10068
250 	*                                   2312
500 	*                                   135

sample: CWL_88_Cyrtodactylus_annulatus_Cebu.trimmed
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	******************************      9506
5 	**                                  217
10 	*                                   15
15 	*                                   3
20 	*                                   3
25 	                                    0
30 	                                    0
35 	                                    0
40 	                                    0
50 	                                    0
100 	                                    0
250 	                                    0
500 	                                    0

sample: CWL_89_Cyrtodactylus_annulatus_Cebu.trimmed
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	***********************             24606
5 	******                              5266
10 	***                                 1789
15 	**                                  665
20 	*                                   284
25 	*                                   118
30 	*                                   68
35 	*                                   33
40 	*                                   22
50 	*                                   19
100 	*                                   6
250 	                                    0
500 	                                    0

sample: CWL_90_Cyrtodactylus_annulatus_Cebu.trimmed
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	***************************         18998
5 	****                                2498
10 	**                                  465
15 	*                                   116
20 	*                                   31
25 	*                                   15
30 	*                                   7
35 	*                                   5
40 	*                                   4
50 	*                                   8
100 	                                    0
250 	                                    0
500 	                                    0

sample: ELR_1007_Gekko_mindorensis_Mindoro.trimmed
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	************************            13462
5 	*******                             3497
10 	**                                  517
15 	*                                   95
20 	*                                   33
25 	*                                   23
30 	*                                   8
35 	*                                   8
40 	*                                   6
50 	*                                   13
100 	*                                   7
250 	*                                   4
500 	*                                   1

sample: ELR_1008_Gekko_mindorensis_Mindoro.trimmed
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*******************                 12299
5 	*********                           5231
10 	****                                1876
15 	**                                  658
20 	*                                   235
25 	*                                   83
30 	*                                   46
35 	*                                   20
40 	*                                   21
50 	*                                   33
100 	*                                   11
250 	*                                   5
500 	*                                   1

sample: ELR_1009_Gekko_mindorensis_Mindoro.trimmed
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*****************************       6824
5 	***                                 428
10 	*                                   30
15 	*                                   7
20 	*                                   4
25 	*                                   5
30 	*                                   1
35 	*                                   1
40 	*                                   4
50 	*                                   2
100 	*                                   2
250 	                                    0
500 	                                    0

sample: ELR_1010_Gekko_mindorensis_Mindoro.trimmed
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	****************                    12290
5 	*********                           6377
10 	*****                               3038
15 	***                                 1329
20 	**                                  485
25 	*                                   187
30 	*                                   83
35 	*                                   43
40 	*                                   32
50 	*                                   51
100 	*                                   21
250 	*                                   6
500 	*                                   7

sample: ELR_681_Cyrtodactylus_philippinicus_Mindoro.trimmed
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	********************                37295
5 	*****                               7120
10 	***                                 3999
15 	**                                  2663
20 	**                                  2016
25 	**                                  1485
30 	**                                  1178
35 	*                                   919
40 	**                                  1238
50 	**                                  2042
100 	*                                   428
250 	*                                   25
500 	*                                   8

sample: ELR_682_Cyrtodactylus_philippinicus_Mindoro.trimmed
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	**********************              68445
5 	****                                8491
10 	**                                  2833
15 	**                                  2040
20 	**                                  1743
25 	**                                  1659
30 	*                                   1617
35 	*                                   1534
40 	**                                  2797
50 	***                                 7438
100 	*                                   744
250 	*                                   47
500 	*                                   25

sample: ELR_911_Gekko_mindorensis_Mindoro.trimmed
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*****************************       6854
5 	***                                 449
10 	*                                   30
15 	*                                   3
20 	*                                   7
25 	*                                   2
30 	*                                   4
35 	                                    0
40 	*                                   4
50 	*                                   7
100 	*                                   2
250 	                                    0
500 	                                    0

sample: KUFS_13_Gekko_chinensis_China.trimmed
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	**********************              54406
5 	****                                6759
10 	**                                  2796
15 	**                                  2158
20 	**                                  1895
25 	**                                  1659
30 	**                                  1487
35 	*                                   1253
40 	**                                  2177
50 	***                                 4075
100 	*                                   610
250 	*                                   44
500 	*                                   33

sample: KUFS_14_Gekko_chinensis_China.trimmed
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	**********************              82844
5 	****                                10693
10 	**                                  3132
15 	*                                   1818
20 	*                                   1418
25 	*                                   1235
30 	*                                   1170
35 	*                                   1108
40 	**                                  2111
50 	***                                 7377
100 	**                                  3666
250 	*                                   89
500 	*                                   60

sample: KUFS_16_Gekko_chinensis_China.trimmed
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	***********************             133106
5 	****                                18111
10 	**                                  5069
15 	*                                   2127
20 	*                                   1397
25 	*                                   1060
30 	*                                   872
35 	*                                   762
40 	*                                   1443
50 	**                                  5286
100 	**                                  8448
250 	*                                   2079
500 	*                                   183

sample: KUFS_17_Gekko_chinensis_China.trimmed
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	***********************             104331
5 	****                                13784
10 	**                                  3773
15 	*                                   1802
20 	*                                   1359
25 	*                                   1061
30 	*                                   1007
35 	*                                   922
40 	*                                   1701
50 	**                                  7067
100 	**                                  6755
250 	*                                   235
500 	*                                   101

sample: LSUHC_5042_Ptychozoon_kuhli_PulauTioman.trimmed
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*************                       13250
5 	******                              5112
10 	****                                3507
15 	***                                 2464
20 	***                                 1860
25 	**                                  1425
30 	**                                  1108
35 	**                                  736
40 	**                                  1137
50 	**                                  1545
100 	*                                   170
250 	*                                   12
500 	*                                   12

sample: LSUHC_7289_Gekko_monarchus_PulauAur.trimmed
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	********************                14812
5 	********                            5782
10 	***                                 1860
15 	**                                  518
20 	*                                   118
25 	*                                   54
30 	*                                   9
35 	*                                   13
40 	*                                   25
50 	*                                   36
100 	*                                   11
250 	*                                   6
500 	*                                   6

sample: NOSERIES_3835_Ptychozoon_kuhli_PulauTioman.trimmed
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	******************                  14662
5 	*********                           6856
10 	****                                2808
15 	**                                  1026
20 	*                                   338
25 	*                                   100
30 	*                                   38
35 	*                                   24
40 	*                                   12
50 	*                                   50
100 	*                                   12
250 	*                                   1
500 	*                                   2

sample: NOSERIES_4679_Ptychozoon_kuhli_PulauTioman.trimmed
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*******************                 13777
5 	*********                           6254
10 	****                                2106
15 	**                                  663
20 	*                                   164
25 	*                                   43
30 	*                                   25
35 	*                                   12
40 	*                                   16
50 	*                                   26
100 	*                                   16
250 	                                    0
500 	*                                   1

sample: NOSERIES_6433_Ptychozoon_kuhli_PulauTioman.trimmed
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	************************            11536
5 	*******                             2876
10 	**                                  482
15 	*                                   102
20 	*                                   20
25 	*                                   18
30 	*                                   6
35 	*                                   2
40 	*                                   7
50 	*                                   12
100 	*                                   2
250 	                                    0
500 	                                    0

sample: PNM.CMNH_1289_Cyrtodactylus_annulatus_Mindanao.trimmed
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	******************************      7402
5 	**                                  136
10 	*                                   9
15 	*                                   6
20 	*                                   3
25 	*                                   4
30 	*                                   1
35 	*                                   1
40 	*                                   3
50 	*                                   2
100 	*                                   2
250 	*                                   1
500 	                                    0

sample: PNM.CMNH_1292_Cyrtodactylus_annulatus_Mindanao.trimmed
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*******************************     5329
5 	*                                   61
10 	*                                   4
15 	*                                   3
20 	*                                   2
25 	*                                   3
30 	*                                   1
35 	*                                   1
40 	*                                   4
50 	*                                   2
100 	*                                   2
250 	                                    0
500 	                                    0

sample: PNM.CMNH_1293_Cyrtodactylus_annulatus_Mindanao.trimmed
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*******************************     3012
5 	*                                   11
10 	*                                   8
15 	*                                   2
20 	*                                   1
25 	                                    0
30 	                                    0
35 	*                                   1
40 	                                    0
50 	*                                   1
100 	                                    0
250 	                                    0
500 	                                    0

sample: PNM.CMNH_1298_Cyrtodactylus_annulatus_Mindanao.trimmed
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	******************************      8681
5 	**                                  193
10 	*                                   17
15 	*                                   4
20 	*                                   4
25 	*                                   3
30 	*                                   3
35 	                                    0
40 	*                                   4
50 	*                                   5
100 	*                                   3
250 	*                                   1
500 	                                    0

sample: RMB_11229_Cyrtodactylus_annulatus_Mindanao.trimmed
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*******************************     5923
5 	*                                   62
10 	*                                   3
15 	*                                   2
20 	*                                   1
25 	                                    0
30 	                                    0
35 	                                    0
40 	                                    0
50 	*                                   1
100 	*                                   1
250 	                                    0
500 	                                    0

sample: RMB_11302_Cyrtodactylus_annulatus_Mindanao.trimmed
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	******************************      13859
5 	**                                  368
10 	*                                   43
15 	*                                   15
20 	*                                   9
25 	*                                   3
30 	*                                   2
35 	*                                   3
40 	                                    0
50 	                                    0
100 	                                    0
250 	                                    0
500 	                                    0

sample: RMB_11309_Cyrtodactylus_annulatus_Mindanao.trimmed
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	************************            36950
5 	*****                               7322
10 	**                                  2380
15 	**                                  1033
20 	*                                   505
25 	*                                   268
30 	*                                   160
35 	*                                   88
40 	*                                   119
50 	*                                   172
100 	*                                   108
250 	*                                   21
500 	*                                   16

sample: RMB_11591_Cyrtodactylus_jambangan_Mindanao.trimmed
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	******************************      14022
5 	**                                  621
10 	*                                   49
15 	*                                   14
20 	*                                   5
25 	                                    0
30 	*                                   2
35 	*                                   2
40 	                                    0
50 	                                    0
100 	                                    0
250 	                                    0
500 	                                    0

sample: RMB_11670_Cyrtodactylus_jambangan_Mindanao.trimmed
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	***********************             28425
5 	******                              6097
10 	***                                 2292
15 	**                                  900
20 	*                                   414
